,isbn,count
120,0316778508,5
121,0743249992,5
122,0840734530,1
123,0425184226,29
124,0375500766,4
125,9724119378,2
126,0451205197,2
127,0060929790,33
128,0060976845,149
129,0061099325,17
130,0671004573,47
131,0446601640,14
132,038572179X,52
133,0393020371,2
134,1900850303,0
135,0345425294,3
136,0451410319,13
137,0553583468,29
138,2070567842,3
139,8401422825,1
140,8433920081,2
141,8440630794,2
142,847223973X,1
143,8476409419,1
144,0380778556,33
145,0451525221,8
146,0002740230,0
147,0373196407,1
148,0385336772,11
149,0440949424,4
150,0505524996,0
151,0140252800,4
152,0451452755,1
153,0812575482,6
154,044651747X,15
155,0060801263,6
156,0061030147,2
157,0140250964,2
158,0446527165,27
159,0671461494,14
160,0385337639,22
161,039575514X,11
162,0451206673,18
163,0330332775,58
164,0486284735,14
165,0671021745,1
166,0671047612,2
167,0671504282,1
168,0399138684,6
169,0785263292,1
170,0345354931,11
171,0553278223,24
172,3150000335,2
173,3257203659,3
174,3257207522,1
175,3257208626,6
176,3257208634,1
177,3257208669,1
178,3257210450,0
179,3257212054,1
180,3257212429,1
181,3257214154,1
182,3257216416,1
183,3257233051,10
184,342311360X,2
185,3426605686,0
186,3453212150,4
187,3492045642,8
188,3498020862,4
189,3499110695,1
190,3499151502,1
191,3548254268,1
192,3570300099,1
193,3596292646,4
194,0060915544,93
195,0060977493,78
196,0140272100,2
197,0156006529,24
198,0312169787,9
199,0312872682,1
200,0316096199,106
201,0316601950,218
202,0316602906,42
203,0316666343,566
204,0316693006,47
205,0316776963,127
206,0316899984,52
207,0345311396,10
208,0345378490,78
209,0345404793,18
210,0345409051,5
211,0345433173,2
212,0373483880,10
213,0375400117,37
214,0375705856,54
215,0375727345,183
216,0380717018,39
217,0380718332,51
218,038076654X,5
219,0380807866,7
220,0385316895,4
221,0385497466,49
222,0385508042,71
223,0385509456,32
224,0385511612,59
225,0385720106,89
226,0385730586,48
227,0425092917,27
228,0425098834,3
229,0425163407,58
230,0425164403,4
231,0440224764,115
232,0440226430,171
233,044023722X,225
234,0446353205,14
235,0446358592,8
236,0446360856,18
237,0446364800,33
238,0446600466,7
239,0446600474,17
240,0446605484,68
241,0446606383,24
242,0446610399,71
243,0446612790,72
244,0449006522,41
245,0449911004,26
246,0451162072,20
247,0451186648,10
248,0452282152,223
249,051512219X,23
250,0515130389,49
251,051513290X,11
252,0517122707,26
253,0553580388,14
254,0590629719,3
255,0671023616,33
256,0671027387,74
257,0671042572,34
258,0679450408,16
259,0684848783,62
260,0743486226,26
261,0786863986,10
262,0803251718,1
263,0804117934,3
264,140003180X,19
265,155874262X,76
266,0060987103,125
267,0151008116,75
268,0375704965,5
269,0525947647,52
270,0804111359,53
271,1558744150,53
272,0435272683,1
273,006102063X,8
274,0060013117,6
275,0060199563,3
276,0060391448,17
277,0060502320,2
278,0060563079,4
279,0060809027,1
280,0060930535,174
281,0060934700,14
282,0060934719,21
283,0060976977,5
284,0061020699,15
285,0061020702,16
286,0061020710,36
287,0061040967,1
288,0061050474,2
289,0061052515,1
290,0061052523,2
291,0061092819,6
292,0061094595,4
293,0062502174,17
294,0064401774,7
295,0064471047,34
296,0064472264,10
297,0066238501,15
298,014028009X,105
299,0140298479,90
300,0140328734,2
301,0140367470,4
302,0140620664,8
303,014100018X,42
304,0141301066,10
305,0141301104,10
306,0142001740,246
307,014230218X,4
308,0304345350,7
309,0312151144,2
310,0312156960,4
311,0312305060,103
312,0312863934,3
313,0312865104,4
314,0312868332,6
315,0312869592,3
316,0312873972,3
317,0312874014,3
318,0312875681,6
319,0312890044,10
320,0312974221,3
321,0316569321,96
322,0340718153,4
323,0345342445,3
324,0345350499,67
325,0345350596,2
326,0345384466,78
327,0345387651,73
328,034543014X,8
329,034543191X,2
330,0345434803,21
331,0373030959,1
332,0373031106,0
333,0373033605,1
334,0373033923,1
335,0373162669,1
336,0373218400,26
337,0373224540,1
338,0373226063,4
339,0373226071,4
340,0373226144,7
341,0373226276,2
342,0373241739,1
343,0373242441,0
344,0373243944,2
345,0373243979,1
346,0373600739,1
347,0373707010,1
348,0373708130,2
349,037370951X,1
350,0373709625,0
351,0373709889,1
352,0373810431,1
353,0373810601,1
354,0373822405,1
355,0373834446,4
356,0373834454,2
357,0373834462,1
358,0373834489,4
359,0373835493,1
360,0373835582,0
361,0373836023,3
362,0375503269,6
363,0375503838,2
364,0375713549,2
365,0375724370,21
366,0375751513,6
367,0375756469,1
368,0375823352,3
369,037582345X,6
370,0375823468,2
371,0380730448,10
372,0380789019,101
373,0380789035,121
374,0380810492,1
375,0380817845,4
376,0380973634,7
377,0380973650,21
378,0380973839,2
379,0380977281,5
380,0380977788,50
381,038097827X,4
382,038533348X,21
383,038542017X,45
384,0394586239,2
385,0399146431,38
386,0399501487,87
387,0413537900,25
388,0425145638,16
389,0425177009,8
390,0439064864,101
391,0439064872,151
392,0439136350,113
393,0439136369,107
394,0439139597,109
395,043935806X,165
396,0439510112,4
397,0440211263,64
398,0440241413,32
399,0440403278,16
400,0440967694,26
401,0441003257,70
402,0441008615,12
403,0441172695,19
404,0441569595,61
405,0446329142,1
406,0446341932,3
407,0446350109,16
408,0446354678,11
409,0446356832,9
410,0446363499,3
411,0446364762,15
412,0446527785,36
413,0446529540,2
414,0446605239,164
415,0448060043,6
416,0449005550,1
417,0449226182,5
418,0451088816,2
419,0451137965,31
420,0451150244,4
421,0451167317,55
422,0451167716,27
423,0451201914,1
424,0451406176,5
425,0451408845,2
426,0451409256,13
427,0451522389,4
428,0451523415,10
429,0451524934,81
430,0451526279,5
431,0451526341,74
432,0451628276,2
433,0452277337,18
434,0486415864,2
435,0515090379,10
436,051510521X,10
437,0515130923,12
438,051513287X,72
439,051788139X,0
440,0553250426,72
441,0553250531,56
442,0553263633,2
443,0553265741,27
444,0553273604,7
445,0553280325,8
446,0553280589,20
447,0553293761,11
448,0553371010,3
449,0553560468,9
450,0553571591,3
451,0571197639,11
452,0575061596,4
453,0590353403,95
454,0590402129,2
455,059043893X,2
456,0590440675,4
457,0618002219,32
458,0618002227,34
459,0618002235,20
460,0618002243,13
461,0671015311,3
462,0671021001,174
463,0671525743,24
464,0671527215,21
465,0671786113,3
466,0679405828,1
467,0679433228,1
468,0679735909,38
469,0679751343,4
470,067976402X,205
471,0679879242,23
472,0679879250,11
473,0681415207,1
474,0684833395,42
475,0684872153,109
476,0684874350,105
477,0743225406,56
478,0743245024,1
479,0749748001,1
480,0749748028,1
481,0801957729,1
482,0804108552,1
483,0808520695,4
484,0811826848,3
485,0812516214,7
486,0871131811,1
487,088001380X,2
488,0895774011,2
489,0963094424,1
490,0965834581,5
491,1401200893,3
492,1401201172,2
493,1551660237,2
494,155166500X,0
495,1551667894,9
496,1556520743,2
497,156389226X,2
498,1563892278,1
499,1563892464,1
500,1563895730,6
501,1563898586,12
502,1565041992,5
503,1566197589,1
504,1567310877,1
505,156971620X,4
506,1573226882,8
507,1931081727,4
508,0374270325,20
509,0375719180,25
510,0440235502,25
511,1573225487,10
512,1853260673,3
513,0060977477,14
514,0345391691,6
515,0520011171,1
516,0553278746,19
517,0670856045,2
518,0872200760,1
519,0937858994,1
520,0671649949,1
521,0590431110,0
522,0064470113,1
523,0553571486,2
524,0972044205,5
525,0312963009,16
526,0345430476,2
527,0345435869,3
528,0380728729,7
529,038081840X,1
530,0449912302,5
531,055329198X,1
532,0671018930,2
533,0812541642,7
534,0312988699,2
535,0486282112,14
536,8483007010,1
537,0670815373,1
538,0385313748,1
539,1575843366,1
540,0684193957,7
541,0345371984,8
542,0380730138,71
543,1573228737,15
544,9681500555,5
545,0380711109,2
546,0452283914,11
547,0425120279,21
548,067153484X,1
549,0380728273,8
550,8433914545,8
551,8484509141,1
552,0446606197,3
553,0771076002,2
554,1559703237,3
555,3596214629,8
556,0062770500,1
557,0671847546,1
558,0060188731,36
559,0140374248,16
560,0312995423,73
561,0380704587,13
562,0380815923,18
563,0385416342,8
564,0385418493,24
565,038542471X,34
566,0425098109,1
567,0449005410,6
568,0449202631,3
569,0449207544,9
570,0515128554,52
571,0517577402,11
572,0590450875,2
573,0590481371,5
574,067103619X,17
575,0743411269,21
576,0743470389,4
577,076218857X,1
578,0767905938,18
579,0891091963,1
580,0915811537,1
581,1880185008,1
582,0140345809,3
583,0156528207,41
584,0380012863,45
585,0451154916,1
586,0785815147,2
587,0875421288,6
588,1567184294,1
589,156718796X,2
590,1862047626,2
591,0198320264,2
592,0373196989,3
593,0373245580,1
594,0451527747,8
595,0671867113,40
596,0812504208,4
597,1590071212,0
598,0060173289,48
599,0060973897,11
600,006101351X,94
601,0140104682,1
602,0312143370,1
603,039456894X,2
604,0440224675,81
605,0449002632,25
606,0449213773,5
607,0452279690,5
608,0553569058,19
609,0679427430,4
610,0679725393,1
611,0802114369,2
612,0819154946,1
613,0897322339,0
614,0940322978,1
615,1573225126,18
616,1579651658,1
617,1878424319,49
618,8427007450,2
619,8429725792,1
620,8474103347,0
621,8475960650,1
622,8475960936,1
623,8476021844,2
624,8477270120,0
625,8478092943,1
626,8478098267,1
627,8478800336,4
628,8478884963,1
629,8483002523,1
630,8486433193,0
631,0600586898,1
632,1853260622,9
633,1857938011,1
634,0140382658,1
635,0312283784,7
636,0345297709,8
637,0345313097,6
638,0345335465,22
639,0385333404,3
640,044021145X,166
641,0449212084,8
642,0553582682,5
643,0590947257,2
644,0786913878,1
645,0801491827,0
646,0816729913,1
647,0843136685,4
648,0866119531,1
649,0866119566,2
650,0870441663,0
651,1561561428,2
652,0553210092,31
653,0553258524,14
654,0316168815,35
655,014023828X,18
656,0316314927,2
657,0345424719,46
658,0375414746,2
659,0375726403,116
660,0385503857,26
661,0425156842,6
662,0440226104,78
663,0553802488,18
664,0767903579,22
665,0805063897,107
666,0679777431,5
667,0553285343,12
668,0486285529,1
669,0671002481,16
670,0812523385,3
671,0385495145,0
672,0679733825,3
673,0842329129,124
674,0345451260,3
675,0740700235,2
676,0380973545,23
677,0393321576,1
678,0743424425,20
679,0786868015,25
680,0446610178,20
681,0684854953,1
682,0743229878,11
683,0380617625,1
684,0380732335,6
685,0385337132,5
686,0440235057,8
687,0445402040,1
688,0618119760,2
689,0871138646,1
690,0026329859,1
691,0060917016,14
692,0060925000,6
693,0060932759,42
694,0061000280,9
695,0312195516,307
696,0380792664,3
697,0393048977,1
698,0399137807,6
699,039914739X,24
700,0451203046,8
701,0451410556,14
702,0451523318,1
703,0486281965,6
704,0486292940,1
705,0684824442,1
706,081296666X,7
707,1877727083,1
708,0486206173,2
709,0312278586,181
710,8845229041,4
711,0140370900,2
712,0674511255,1
713,0030096189,1
714,0312965745,2
715,0345374657,0
716,0395710901,2
717,080521061X,2
718,0679310002,1
719,0312288115,16
720,0316171107,1
721,0380710218,48
722,0515118656,22
723,0553289063,7
724,0671000306,15
725,0671673688,23
726,1561672033,1
727,0425178242,2
728,0618173870,11
729,0156027321,181
730,0375403582,2
731,0385721420,43
732,0451202341,41
733,0743418190,20
734,0060913509,4
735,0060923245,14
736,0140286276,9
737,0312980388,11
738,0345441133,24
739,0373484100,12
740,0380732688,12
741,0385335407,9
742,0385424728,44
743,0385490992,46
744,0425181111,22
745,0440225078,7
746,0449907481,60
747,0486272664,3
748,0515127833,29
749,0515134279,23
750,0553107305,13
751,0553272837,23
752,080213825X,43
753,0945586051,1
754,0965746828,1
755,0590419625,1
756,0385472951,47
757,0451195663,6
758,0425182878,47
759,055356451X,45
760,0553564528,29
761,0743412621,15
762,0849943450,1
763,084994371X,1
764,0849943728,2
765,0020442408,8
766,0590406019,2
767,0140179836,30
768,0312976275,62
769,0345348656,9
770,0373076746,3
771,0373262469,2
772,0380813815,49
773,0385483724,2
774,0385496095,21
775,0395798671,1
776,0439070333,1
777,0439099404,6
778,0440241006,9
779,0440508827,1
780,0451522346,2
781,0515131679,8
782,0553298836,4
783,0671877445,7
784,068484267X,79
785,0691017840,7
786,0765346672,1
787,0805009086,0
788,0809244942,2
789,0892819774,1
790,1558743669,107
791,1573225789,74
792,1852308060,0
793,006017143X,12
794,0345313860,115
795,0345353625,5
796,0345369947,45
797,0385306032,9
798,038549825X,2
799,042517736X,19
800,0553202294,1
801,0553225987,3
802,067170124X,1
803,0671868713,16
804,0679401377,4
805,0805056491,15
806,0816152446,1
807,1562827049,3
808,0020427859,9
809,0060392452,126
810,0060558865,8
811,0060934417,127
812,0060938455,123
813,0061094560,3
814,0061096091,1
815,0064400026,24
816,0140230165,17
817,014029628X,64
818,0307001164,5
819,0307115208,2
820,0307118703,1
821,0307119424,2
822,0307128865,1
823,0312312628,3
824,0312986769,7
825,0312990456,54
826,0312995431,2
827,0316666009,47
828,0345348036,59
829,0345369068,8
830,0345379454,3
831,0345404769,19
832,0345413369,36
833,0345413377,22
834,0345447409,10
835,034546074X,2
836,0375815147,1
837,0380709260,3
838,0380724332,4
839,0394825985,4
840,0425115844,2
841,0425168948,3
842,0425188787,22
843,0439061644,2
844,0439080967,2
845,043912042X,13
846,0439163099,2
847,0439569842,1
848,0440236061,21
849,0440403553,1
850,0440441501,1
851,0446360589,28
852,0446394521,46
853,0449000265,9
854,0449209121,3
855,0449211770,2
856,0451184718,18
857,0451210891,2
858,0553292722,34
859,0553294849,3
860,0553297341,3
861,0553298860,5
862,055356160X,29
863,0553569910,34
864,0553571842,5
865,0553575538,16
866,0553576801,34
867,0553576925,15
868,055357695X,18
869,0553578693,34
870,0553580523,4
871,0553582135,42
872,0553582526,40
873,0553583441,23
874,0590021117,4
875,0590418858,1
876,0590442988,1
877,0590462237,1
878,0590687301,2
879,067102406X,2
880,067144378X,1
881,067151699X,9
882,0671885634,2
883,0679833692,4
884,0679893105,14
885,0684196387,10
886,068815252X,6
887,0688169678,2
888,0689710879,12
889,0689710887,11
890,0689710895,8
891,0689711522,9
892,0743206053,14
893,0743260244,13
894,0743439775,8
895,0743444523,2
896,0743460529,35
897,0743474325,8
898,0767912918,5
899,0786817070,59
900,080411952X,4
901,0812502124,8
902,0812519655,4
903,0812521129,1
904,0812524853,7
905,0812533534,8
906,0812533593,1
907,0821769340,12
908,0821769367,16
909,0821772953,14
910,0898153778,1
911,0915368587,1
912,0936034025,1
913,1400077826,17
914,1557733856,3
915,1557734909,1
916,193072229X,4
917,0385335679,9
918,0440122090,28
919,0671525832,12
920,0553279572,7
921,0061009059,107
922,0060930187,34
923,0516076272,0
924,0679450432,10
925,0821770209,9
926,0821775863,9
927,0670855758,1
928,0553562819,5
929,0446364193,93
930,0446519138,39
931,0061042943,12
932,0425179672,22
933,006015781X,3
934,0312206763,1
935,0316116025,2
936,0385314019,2
937,0399144463,72
938,0618231617,8
939,0743444167,4
940,0140185216,26
941,0425174484,12
942,0486272745,4
943,0684717255,5
944,0787955671,1
945,0811203220,0
946,8807120194,1
947,0062507249,6
948,0060083298,9
949,0140293248,132
950,0446672211,236
951,0684801221,25
952,0807070718,1
953,1576737357,3
954,0345305477,2
955,0743213831,8
956,0061080519,2
957,0142000205,103
958,0062517856,5
959,015600710X,21
960,0316735027,16
961,0425169626,2
962,0449911683,2
963,0679767789,2
964,193156146X,20
965,0140021566,1
966,0449207757,9
967,0449245691,4
968,2070334368,1
969,2070362388,9
970,2070384349,0
971,2070417743,1
972,207053880X,2
973,2253004022,3
974,2253005274,7
975,225300670X,5
976,2253007102,6
977,2266029460,1
978,2266033689,1
979,2266084372,8
980,0140048944,1
981,0140430091,2
982,0140620249,3
983,0140620427,17
984,3423202033,1
985,3492207006,4
986,3442724686,8
987,3596144434,5
988,0060164662,2
989,0060191929,7
990,0060192631,2
991,0140107649,4
992,0140128107,1
993,0151000719,2
994,0151001006,11
995,0316603287,36
996,0316693200,47
997,0316779423,31
998,0316779490,26
999,0316789089,52
1000,0316969443,63
1001,0345339711,66
1002,0345428900,3
1003,0345452550,21
1004,0374172897,20
1005,0375400699,2
1006,0380978539,1
1007,0385420161,49
1008,0385470819,6
1009,0385500769,3
1010,0385504209,390
1011,0385505833,96
1012,039304016X,17
1013,0394574745,9
1014,0399147012,2
1015,0399147128,19
1016,0399148582,5
1017,0425184129,25
1018,0446520802,45
1019,0446523569,32
1020,0446525502,32
1021,0446525537,32
1022,0446527793,26
1023,0446531332,52
1024,0451197275,1
1025,0525943862,2
1026,052594463X,1
1027,0525944834,1
1028,0553109839,6
1029,0609605925,8
1030,0609606727,10
1031,0670031046,13
1032,0670892963,50
1033,0671042556,19
1034,0679410430,3
1035,0679419624,3
1036,0679442790,35
1037,0679450440,6
1038,0679603352,3
1039,067972768X,4
1040,0679732241,12
1041,0679746048,95
1042,0684864320,6
1043,0684864843,13
1044,0684867818,8
1045,0684868911,5
1046,0684874318,6
1047,0688180639,9
1048,0743206045,42
1049,0743230051,13
1050,0743406176,21
1051,080411868X,48
1052,0842336214,1
1053,1558747028,15
1054,1558747346,8
1055,1570717257,6
1056,0451176812,8
1057,0394551427,2
1058,0446602086,2
1059,0671525794,4
1060,0718144538,3
1061,0064407667,91
1062,0007100221,1
1063,0061092606,18
1064,0140253580,2
1065,0140292918,3
1066,0140366660,6
1067,0140366857,2
1068,0140622063,5
1069,0198604025,1
1070,0349101779,28
1071,0416196772,1
1072,057120354X,2
1073,0571209521,1
1074,0671894455,40
1075,0743222229,16
1076,0743462335,1
1077,0747538069,2
1078,0752804510,4
1079,0767908473,9
1080,0890877564,2
1081,1405200677,1
1082,1841950521,1
1083,1841952931,2
1084,1853260002,18
1085,185479549X,1
1086,1854795554,1
1087,1858813093,1
1088,2020315491,0
1089,2070322068,1
1090,2070393577,1
1091,2253000868,1
1092,2253001457,5
1093,2253002895,1
1094,2253006866,1
1095,2253037796,1
1096,2253043974,4
1097,2253049417,6
1098,2253051381,1
1099,2253063339,17
1100,2253140872,9
1101,2253148539,1
1102,2253170127,1
1103,2253170372,2
1104,2253170569,2
1105,2857043821,1
1106,2871290911,1
1107,2876916193,0
1108,2909051196,1
1109,0375501347,13
1110,0060927240,13
1111,0060006048,1
1112,0307215342,2
1113,0312287240,1
1114,0312906552,1
1115,0345370740,8
1116,0345395379,4
1117,0345403339,5
1118,0374343381,1
1119,0374386676,1
1120,0380788497,3
1121,0395877563,1
1122,0425049981,1
1123,0425142485,22
1124,0440117291,1
1125,0440219604,1
1126,0440226694,2
1127,0446300101,5
1128,0451181379,34
1129,0451450256,2
1130,0451456548,5
1131,0553574159,0
1132,0553574167,3
1133,0553574175,1
1134,0553579673,1
1135,0553579681,3
1136,0679801146,9
1137,0786886463,13
1138,0786889160,7
1139,0889740828,2
1140,0962893862,2
1141,1555834531,1
1142,1555835953,1
1143,156341029X,5
1144,1563410443,3
1145,1563411148,4
1146,1563899388,6
1147,1886383421,1
1148,1888451084,1
1149,0345429176,1
1150,038529929X,44
1151,0767903285,1
1152,1573229571,45
1153,0345418778,8
1154,0517201658,4
1155,039914370X,6
1156,0743211383,45
1157,0312977905,3
1158,0451205421,32
1159,0812521331,9
1160,1884777805,1
1161,0440218535,25
1162,0894342789,1
1163,0449207595,4
1164,8806142267,0
1165,0394559487,1
1166,039457513X,2
1167,0670844594,1
1168,0804001944,0
1169,0060535032,2
1170,0064405052,12
1171,0064409457,2
1172,0152162445,3
1173,015216250X,13
1174,0152162577,5
1175,0345391802,58
1176,0439042917,1
1177,043922165X,2
1178,0439221676,2
1179,0439221684,2
1180,0439221706,1
1181,0439221714,1
1182,0439221730,0
1183,0440219078,81
1184,0440415993,3
1185,0590897985,8
1186,0689829698,2
1187,0689832877,2
1188,068983585X,1
1189,1562477528,1
1190,185424597X,2
1191,2080105434,0
1192,0345346971,9
1193,0345356578,8
1194,3257201761,1
1195,3404118960,16
1196,3404121686,6
1197,349913358X,3
1198,0753804700,23
1199,0451155750,30
1200,0786890436,35
1201,0884111342,1
1202,0345428544,7
1203,0671694049,9
1204,0449006557,4
1205,0373250339,4
1206,0380820447,19
1207,0385497679,3
1208,0451454243,17
1209,0312853238,7
1210,0373871562,2
1211,0380002450,16
1212,0385493800,44
1213,039914563X,18
1214,0425134350,10
1215,0425161722,20
1216,0440211727,155
1217,067175145X,5
1218,0688048730,1
1219,0380538504,2
1220,0385479689,1
1221,0345404777,12
1222,0380759497,12
1223,038533334X,40
1224,0440120470,1
1225,0440130913,1
1226,0440222818,15
1227,0440224829,15
1228,044661162X,24
1229,0449001954,4
1230,0449131548,0
1231,0451185277,8
1232,0451188209,0
1233,0451204050,8
1234,0515122408,12
1235,0515134368,15
1236,0671742566,4
1237,0671779338,1
1238,1551660016,2
1239,3442098424,1
1240,0394578791,6
1241,1558505377,2
1242,0060085444,13
1243,0061064505,1
1244,0064472779,7
1245,0130139165,1
1246,0140065172,4
1247,0312422156,47
1248,0312971346,68
1249,0345384350,29
1250,0373036582,1
1251,0373037430,1
1252,0373037449,3
1253,0373037481,1
1254,0373118333,1
1255,0373123108,1
1256,0373123205,1
1257,0373123485,1
1258,037316971X,1
1259,0373196679,1
1260,0373196725,2
1261,0373196741,1
1262,0373245696,0
1263,0373270089,1
1264,0373613601,3
1265,0373750013,2
1266,0380723638,19
1267,0380752115,1
1268,0380817144,12
1269,0381999866,1
1270,0393030342,1
1271,0399143165,8
1272,0425124347,37
1273,0425139069,1
1274,0425147517,23
1275,0425155404,31
1276,0425166619,28
1277,044022165X,111
1278,044132231X,1
1279,0450029956,1
1280,0451524489,3
1281,0451526503,4
1282,0553238256,0
1283,0553256785,1
1284,0553561618,33
1285,0553581279,6
1286,0590431250,0
1287,0590514776,4
1288,068983571X,4
1289,0765341972,24
1290,0892967994,1
1291,1551668785,4
1292,0312282990,75
1293,0786889705,1
1294,0425113892,6
1295,042512892X,5
1296,0425137945,4
1297,014036336X,2
1298,0375821813,8
1299,0394820371,46
1300,0449134482,22
1301,0812516826,6
1302,0679420118,0
1303,0741402858,1
1304,0741402912,1
1305,0741403056,1
1306,0741403471,1
1307,0741403781,0
1308,0741405784,1
1309,0741407213,1
1310,0741409690,1
1311,074141127X,1
1312,0759612277,0
1313,0871137380,4
1314,1585007366,0
1315,0553568760,18
1316,034538184X,21
1317,0140620109,15
1318,0140620125,12
1319,0375420827,6
1320,0671745530,5
1321,0553211412,3
1322,0671510053,120
1323,0805062971,40
1324,1573229385,14
1325,0385334036,32
1326,0945397410,2
1327,0060914653,24
1328,0345347536,21
1329,055321313X,43
1330,0060529709,13
1331,0140274154,9
1332,0375507256,2
1333,0375704027,12
1334,0679743464,11
1335,0876850867,9
1336,3473540420,1
1337,0451527038,3
1338,0590484672,5
1339,0590484753,12
1340,0874067391,1
1341,0975311255,1
1342,0743237188,101
1343,0553584510,30
1344,0553586122,27
1345,0345341201,3
1346,0440175623,2
1347,0440216842,10
1348,0345443284,110
1349,0553285653,6
1350,0060256672,20
1351,0060928336,256
1352,0060972777,5
1353,0140042393,25
1354,0140070206,9
1355,0140077022,21
1356,014016930X,14
1357,0140236589,1
1358,0140253602,7
1359,0156001942,6
1360,0312420145,4
1361,0316777730,53
1362,0345418018,16
1363,0375401318,4
1364,0375501851,10
1365,0375705228,1
1366,038001503X,17
1367,0394800133,15
1368,039592720X,60
1369,0440215625,56
1370,055326382X,3
1371,0553268449,23
1372,0553273914,52
1373,0671003755,166
1374,0671789422,22
1375,0679732764,21
1376,0684801469,17
1377,0684844729,7
1378,0805019367,13
1379,0810935627,1
1380,0872203492,2
1381,0877733759,21
1382,0911104542,2
1383,1566193966,1
1384,158574218X,2
1385,1859671500,1
1386,3446202218,1
1387,3499134446,1
1388,067142517X,6
1389,0345422392,13
1390,0446601241,65
1391,0446604801,54
1392,0451124340,19
1393,0671726889,17
1394,0679734775,50
1395,0152013369,1
1396,0425124819,4
1397,0440414717,2
1398,0812539389,1
1399,0345409469,17
1400,0141001771,12
1401,0373250177,7
1402,0449005569,6
1403,0451523369,6
1404,0671027344,52
1405,0763615382,0
1406,0786884622,6
1407,0965975401,2
1408,006019491X,32
1409,0066211611,20
1410,0140368558,1
1411,0375420673,5
1412,0395353416,1
1413,0684819066,8
1414,0786927089,5
1415,0671578103,6
1416,3404203097,2
1417,3404203135,0
1418,3423009152,3
1419,3423620005,1
1420,3426616262,1
1421,3426701448,1
1422,342670174X,1
1423,3426701758,1
1424,3442248922,0
1425,345309221X,4
1426,3453137205,1
1427,3453147243,2
1428,3453171977,1
1429,3453177800,1
1430,3492229336,3
1431,3492265014,0
1432,3596133319,3
1433,3596142229,1
1434,3746611229,0
1435,3808536519,1
1436,0140042520,20
1437,0345358791,15
1438,0345375211,9
1439,034537522X,5
1440,034545829X,1
1441,0446677574,1
1442,0060964049,33
1443,0345298985,3
1444,034531011X,2
1445,0345310292,2
1446,034531042X,2
1447,0345316991,6
1448,0345370775,160
1449,0440206154,132
1450,0441317502,2
1451,0451130448,2
1452,0679734058,6
1453,0812551389,4
1454,0060242388,1
1455,0553574833,1
1456,0915950839,1
1457,0020418809,7
1458,0020435207,2
1459,0060171510,1
1460,0060502258,133
1461,0060971819,1
1462,0062740083,1
1463,0064401847,30
1464,0064402967,9
1465,0070212570,69
1466,0140017151,1
1467,0140149937,1
1468,0140150706,1
1469,0140440399,2
1470,0312274920,33
1471,0312421001,6
1472,0312950586,14
1473,0340188022,1
1474,0345334930,5
1475,0345416260,33
1476,0373484224,25
1477,0373484410,27
1478,0375507507,6
1479,0375707972,116
1480,0380018179,59
1481,0380599236,9
1482,0385315279,11
1483,0385491085,5
1484,0385492081,111
1485,0394557433,4
1486,0394743180,4
1487,039607412X,0
1488,0425195899,4
1489,0440215234,1
1490,0440215978,1
1491,0440221595,45
1492,044022425X,26
1493,0440235162,53
1494,0440514428,18
1495,0446344109,4
1496,0446606812,104
1497,0446611867,88
