isbn,book_author,publisher,language,category_high,years
0679810307,others,Laurel,en,others,2000
0679865691,others,Laurel,en,fiction,2000
2070423204,Michel Tournier,Gallimard,fr,fiction,2020
0345260317,Carl Sagan,Ballantine Books,en,science,1980
0394743741,others,Random House,en,fiction,1990
042511774X,Anne Tyler,Berkley Publishing Group,en,fiction,2000
0804106304,Amy Tan,Prentice Hall,en,fiction,2000
1853262404,Joseph Conrad,NTC/Contemporary Publishing Company,en,fiction,2000
0312970242,Deepak Chopra,St. Martin's Press,en,fiction,2020
1853260053,Thomas Hardy,NTC/Contemporary Publishing Company,en,fiction,2000
1414035004,others,1stBooks Library,en,fiction,2020
0060938412,others,Avon,en,fiction,2020
0140067477,Benjamin Hoff,Penguin,en,humor,1990
0345465083,others,Ballantine Books,en,history,2020
1558531025,H. Jackson Brown,Thomas Nelson,en,conduct of life,2000
0441783589,Robert A. Heinlein,Ace Books,en,fiction,1990
0394895894,PHILIP PULLMAN,Laurel,en,fiction,1990
1569871213,Anna Sewell,Landoll,en,horses,2000
0375410538,others,Knopf,en,fiction,2020
0966986105,others,others,en,fiction,2000
087113375X,others,Atlantic Monthly Press,en,fiction,2000
0340767936,Mike Gayle,Hodder & Stoughton,en,fiction,2020
0743403843,others,Simon & Schuster,en,fiction,2020
0060930365,others,Perennial,en,fiction,2000
0071416331,others,McGraw-Hill,en,fiction,2020
0375509038,others,Random House,en,science,2020
0553062042,others,Bantam,en,brothers,1990
0316769487,J.D. Salinger,"Little, Brown",en,fiction,2000
8445071408,J. R. R. Tolkien,Minotauro,es,baggins frodo fictitious character,2020
8445071769,J. R. R. Tolkien,Minotauro,en,fiction,2020
8445071777,J. R. R. Tolkien,Distribooks,es,baggins frodo fictitious character,2020
0679429220,others,Random House,en,history,2000
0671867156,Mary Higgins Clark,Pocket,en,fiction,2000
0312252617,Jennifer Crusie,St. Martin's Press,en,fiction,2020
0312261594,Jane Heller,St. Martin's Press,en,fiction,2020
0316748641,others,Back Bay Books,en,biography autobiography,2020
0316973742,others,Back Bay Books,en,fiction,2020
0385235941,others,Doubleday,en,fiction,1990
0446677450,others,Warner Books,en,fiction,2020
0451166892,Ken Follett,Signet Book,en,fiction,2000
0553347594,others,Bantam,en,business,2000
0671621009,others,Fireside,en,business,1990
067976397X,others,Vintage,en,fiction,2000
0786868716,Mitch Albom,Hyperion,en,fiction,2020
8472238822,others,Tusquets,en,fiction,2020
0671864769,Michael Jan Friedman,Star Trek,en,fiction,2000
0671521519,others,Pocket,en,fiction,2000
0440222303,others,Dell,en,fiction,2000
0312953453,David Morrell,St. Martin's Press,en,fiction,2000
0446608653,Sandra Brown,Warner Books,en,fiction,2020
0446612545,James Patterson,Warner Books,en,fiction,2020
0446612618,Sandra Brown,Warner Books,en,fiction,2020
0451208080,Stuart Woods,Signet Book,en,fiction,2020
0553584383,IRIS JOHANSEN,Bantam,en,fiction,2020
0671027360,Dan Brown,Pocket,en,fiction,2020
0812575954,others,Tor Books,en,fiction,2020
0316735736,Anita Shreve,Back Bay Books,en,fiction,2020
0743439740,Ann Rule,Pocket,en,fiction,2020
0345372700,LEWIS GRIZZARD,Ballantine Books,en,humor,2000
0380619458,Paul Theroux,Harper Mass Market Paperbacks,en,americans,2000
0446325805,Lewis Grizzard,Warner Books,en,fiction,2000
0451406923,others,Onyx Books,en,others,2000
0671042858,Stephen King,Pocket,en,fiction,2020
0143034359,others,Penguin,en,fiction,2020
0316778508,others,Back Bay Books,en,fiction,2020
0743249992,others,Free Press,en,biography autobiography,2020
0840734530,others,Thomas Nelson,en,fiction,2000
0425184226,Tom Clancy,Berkley Publishing Group,en,fiction,2020
0375500766,others,Random House,en,biography autobiography,2000
9724119378,others,others,en,fiction,2000
0451205197,Barbara Metzger,Signet Book,en,fiction,2020
0060929790,Gabriel Garcia Marquez,Perennial,en,fiction,2000
0060976845,Rebecca Wells,Perennial,en,fiction,2000
0061099325,Tony Hillerman,HarperTorch,en,fiction,2000
0671004573,Mary Higgins Clark,Pocket,en,fiction,2020
0446601640,Robert James Waller,Warner Books,en,fiction,2000
038572179X,others,Anchor,en,fiction,2020
0393020371,others,W.W. Norton & Company,en,fiction,2020
1900850303,others,others,en,others,2000
0345425294,others,Fawcett,en,fiction,2020
0451410319,others,Onyx Books,en,fiction,2020
0553583468,Kay Hooper,Bantam,en,fiction,2020
2070567842,others,Gallimard,fr,fiction,2000
8401422825,Ray Bradbury,Plaza & Janes Editor,en,fiction,2000
8433920081,William S. Burroughs,Anagrama,en,fiction,2000
8440630794,Arthur C. Clarke,Ediciones B,en,fiction,2000
847223973X,Boris Vian,Tusquets,es,fiction,2020
8476409419,others,Downtown Book Center,es,literary,2020
0380778556,Daphne Du Maurier,Avon,en,fiction,2000
0451525221,Nathaniel Hawthorne,Signet Book,en,fiction,2000
0002740230,others,Trafalgar Square,en,self help,2000
0373196407,others,Silhouette,en,fiction,2020
0385336772,others,Delta,en,fiction,2020
0440949424,others,Laure Leaf,en,fiction,1990
0505524996,others,Love Spell,en,fiction,2020
0140252800,Barbara Vine,Penguin,en,fiction,2000
0451452755,Shirley Rousseau Murphy,Roc,en,fiction,2000
0812575482,Jane Lindskold,Tor Fantasy,en,fiction,2020
044651747X,Robert James Waller,Warner Books,en,fiction,2000
0060801263,others,Harpercollins,en,fiction,1990
0061030147,others,Avon,en,biography autobiography,2020
0140250964,Stewart O'Nan,Penguin,en,fiction,2000
0446527165,David Baldacci,Warner Books,en,fiction,2020
0671461494,Douglas Adams,Pocket,en,humor,1990
0385337639,others,Delta,en,fiction,2020
039575514X,Willa Cather,Mariner Books,en,fiction,2000
0451206673,Olivia Goldsmith,Signet Book,en,fiction,2020
0330332775,Helen Fielding,Picador,en,fiction,2000
0486284735,Jane Austen,Dover Publications,en,fiction,2000
0671021745,Franklin W. Dixon,Aladdin,en,fiction,2000
0671047612,Franklin W. Dixon,Aladdin,en,fiction,2020
0671504282,Franklin W. Dixon,Simon Pulse,en,fiction,2000
0399138684,Lilian Jackson Braun,Putnam Pub Group,en,fiction,2000
0785263292,others,Nelson Books,en,religion,2020
0345354931,Piers Anthony,Del Rey,en,fiction,2000
0553278223,others,Spectra,en,fiction,1990
3150000335,others,"Philipp Reclam, Jun Verlag GmbH",en,fiction,2000
3257203659,Ray Bradbury,Diogenes,en,fiction,2020
3257207522,Raymond Chandler,Diogenes,en,fiction,1990
3257208626,Ray Bradbury,Distribooks,de,fiction,2000
3257208634,Ray Bradbury,Diogenes,en,fiction,1990
3257208669,Ray Bradbury,Diogenes,en,fiction,2020
3257210450,Ray Bradbury,Diogenes,en,fiction,2000
3257212054,Ray Bradbury,Diogenes,en,fiction,2020
3257212429,Ray Bradbury,Diogenes,en,fiction,2020
3257214154,Ray Bradbury,Diogenes,en,fiction,2020
3257216416,Ray Bradbury,Diogenes,en,fiction,1990
3257233051,others,Distribooks,en,fiction,2020
342311360X,Gabriel Garcia Marquez,Taschen,en,fiction,2000
3426605686,others,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH & Co.",en,fiction,2000
3453212150,Sue Townsend,Heyne,en,fiction,2020
3492045642,Michael Moore,Piper,en,fiction,2020
3498020862,Jonathan Franzen,Rowohlt,de,fiction,2020
3499110695,others,Rowohlt,en,fiction,1970
3499151502,others,Rowohlt,en,fiction,2000
3548254268,Joanna Trollope,Ullstein Tb,en,fiction,2020
3570300099,Sue Townsend,"Bertelsmann, MÃ?Â¼nchen",en,fiction,2020
3596292646,Milan Kundera,"Fischer (Tb.), Frankfurt",de,fiction,2020
0060915544,Barbara Kingsolver,Perennial,en,fiction,1990
0060977493,Arundhati Roy,Perennial,en,fiction,2000
0140272100,Mary McGarry Morris,Penguin,en,fiction,2000
0156006529,Anita Shreve,Harvest Books,en,fiction,2000
0312169787,others,St. Martin's Press,en,fiction,2000
0312872682,others,St Martins Pr,en,fiction,2020
0316096199,others,Back Bay Books,en,fiction,2020
0316601950,Anita Shreve,Back Bay Books,en,fiction,2000
0316602906,James Patterson,"Little, Brown",en,fiction,2020
0316666343,others,"Little, Brown",en,fiction,2020
0316693006,James Patterson,"Little, Brown",en,fiction,2020
0316776963,David Sedaris,Back Bay Books,en,fiction,2020
0316899984,others,Little Brown & Co,en,fiction,2000
0345311396,Richard North Patterson,Ballantine Books,en,fiction,2000
0345378490,Michael Crichton,Ballantine Books,en,fiction,2000
0345404793,Richard North Patterson,Ballantine Books,en,fiction,2020
0345409051,Judith Guest,Ballantine Books,en,fiction,2000
0345433173,others,Ballantine Books,en,fiction,2000
0373483880,Nora Roberts,Silhouette,en,fiction,2000
0375400117,others,Knopf,en,fiction,2000
0375705856,others,Vintage,en,fiction,2020
0375727345,others,Vintage,en,fiction,2020
0380717018,others,Avon,en,fiction,2000
0380718332,others,Avon,en,fiction,2000
038076654X,Kathleen E. Woodiwiss,Avon,en,fiction,2000
0380807866,Kathleen E. Woodiwiss,Avon,en,fiction,2000
0385316895,Belva Plain,Bantam,en,fiction,2000
0385497466,JOHN GRISHAM,Doubleday,en,fiction,2020
0385508042,John Grisham,Doubleday,en,fiction,2020
0385509456,others,Doubleday,en,fiction,2020
0385511612,John Grisham,Doubleday,en,fiction,2020
0385720106,Jane Hamilton,Anchor,en,fiction,2000
0385730586,others,Delacorte Books for Young Readers,en,fiction,2020
0425092917,Anne Tyler,Berkley Publishing Group,en,fiction,2000
0425098834,Anne Tyler,Berkley Publishing Group,en,fiction,1990
0425163407,Patricia Daniels Cornwell,Berkley Publishing Group,en,fiction,2000
0425164403,Erich Segal,Berkley Publishing Group,en,fiction,2000
0440224764,John Grisham,Dell,en,fiction,2000
0440226430,Judy Blume,Dell,en,fiction,2000
044023722X,John Grisham,Dell,en,fiction,2020
0446353205,Nelson DeMille,Warner Books,en,fiction,1990
0446358592,Nelson DeMille,Warner Books,en,fiction,2000
0446360856,Nelson DeMille,Warner Books,en,fiction,2000
0446364800,Nelson DeMille,Warner Books,en,fiction,2000
0446600466,James Patterson,Warner Books,en,fiction,2000
0446600474,James Patterson,Warner Books,en,fiction,2000
0446605484,James Patterson,Warner Vision,en,fiction,2020
0446606383,James Patterson,Warner Vision,en,fiction,2000
0446610399,Nicholas Sparks,Warner Books,en,fiction,2020
0446612790,James Patterson,Warner Vision,en,fiction,2020
0449006522,others,Ballantine Books,en,fiction,2020
0449911004,others,Ballantine Books,en,fiction,2000
0451162072,Stephen King,Signet Book,en,fiction,2000
0451186648,others,Signet Book,en,fiction,2020
0452282152,Tracy Chevalier,Plume Books,en,fiction,2020
051512219X,Lavyrle Spencer,Jove Books,en,fiction,2000
0515130389,Nora Roberts,Jove Books,en,fiction,2020
051513290X,Judith Kelman,Jove Books,en,fiction,2020
0517122707,others,Outlet Books Company,en,fiction,2000
0553580388,Michael Palmer,Bantam,en,fiction,2020
0590629719,Norman Bridwell,Scholastic,en,fiction,2000
0671023616,Patricia Cornwell,Pocket,en,fiction,2000
0671027387,Dan Brown,Pocket,en,fiction,2020
0671042572,others,Pocket,en,fiction,2000
0679450408,Richard North Patterson,Random House,en,fiction,2000
0684848783,Frank McCourt,Scribner,en,biography autobiography,2000
0743486226,Dan Brown,Atria,en,fiction,2020
0786863986,others,Hyperion,en,biography autobiography,2000
0803251718,others,University of Nebraska Press,en,india,1970
0804117934,Anne Perry,Ivy Books,en,fiction,2000
140003180X,others,Anchor,en,fiction,2020
155874262X,Jack Canfield,Health Communications,en,self help,2000
0060987103,Gregory Maguire,Regan Books,en,fiction,2000
0151008116,others,Harcourt,en,fiction,2020
0375704965,Ruth Rendell,Vintage,en,fiction,2020
0525947647,Al Franken,Dutton,en,humor,2020
0804111359,others,Ballantine Books,en,fiction,2000
1558744150,Jack Canfield,Health Communications,en,fiction,2000
0435272683,others,Delta,en,england,2000
006102063X,Terry Pratchett,HarperTorch,en,fiction,2020
0060013117,Terry Pratchett,Collins,en,fiction,2020
0060199563,Terry Pratchett,Collins,en,fiction,2020
0060391448,Gregory Maguire,Collins,en,fiction,2000
0060502320,others,Avon,en,fiction,2020
0060563079,J. M. Barrie,HarperFestival,en,fiction,2020
0060809027,others,Perennial,en,fiction,1990
0060930535,Barbara Kingsolver,Perennial,en,fiction,2000
0060934700,Neil Gaiman,Perennial,en,fiction,2020
0060934719,Neil Gaiman,Perennial,en,fiction,2020
0060976977,Jonathan Kozol,Perennial,en,social,2000
0061020699,Terry Pratchett,HarperTorch,en,fiction,2020
0061020702,Terry Pratchett,HarperTorch,en,fiction,2020
0061020710,Terry Pratchett,HarperTorch,en,fiction,2020
0061040967,Terry Pratchett,Collins,en,fiction,2020
0061050474,Terry Pratchett,HarperPrism,en,fiction,2000
0061052515,Terry Pratchett,HarperPrism,en,fiction,2000
0061052523,Terry Pratchett,Harpercollins,en,fiction,2000
0061092819,Barbara Delinsky,HarperTorch,en,fiction,2000
0061094595,Janet Dailey,HarperTorch,en,fiction,2020
0062502174,Paulo Coelho,HarperSanFrancisco,en,fiction,2000
0064401774,Alvin Schwartz,HarperTrophy,en,fiction,1990
0064471047,C. S. Lewis,Collins,en,fiction,2000
0064472264,Louise Rennison,HarperTempest,en,fiction,2020
0066238501,C. S. Lewis,Harpercollins,en,fiction,2020
014028009X,Helen Fielding,Penguin,en,fiction,2000
0140298479,Helen Fielding,Penguin,en,fiction,2020
0140328734,Roald Dahl,Puffin Books,en,fiction,1990
0140367470,Alexandre Dumas,Puffin Books,en,fiction,2000
0140620664,Jane Austen,Penguin,en,fiction,2000
014100018X,Joanne Harris,Penguin,en,fiction,2020
0141301066,Roald Dahl,Puffin Books,en,fiction,2000
0141301104,Roald Dahl,Puffin Books,en,fiction,2000
0142001740,others,Penguin,en,fiction,2020
014230218X,Charles De Lint,others,en,fiction,2020
0304345350,others,Sterling Pub Co Inc,en,social,2000
0312151144,others,Picador,en,fiction,2000
0312156960,Bernard Cornwell,St. Martin's Griffin,en,fiction,2000
0312305060,Michael Cunningham,Picador,en,fiction,2020
0312863934,Charles de Lint,Orb Books,en,fiction,2000
0312865104,Charles de Lint,Orb Books,en,fiction,2000
0312868332,Graham Joyce,Tor Books,en,fiction,2000
0312869592,Charles de Lint,Tor Books,en,fiction,2000
0312873972,Charles De Lint,Tor Books,en,fiction,2020
0312874014,Charles de Lint,Tor Books,en,fiction,2020
0312875681,Charles de Lint,Tor Books,en,fiction,2020
0312890044,Charles de Lint,Orb Books,en,fiction,2000
0312974221,Nancy Thayer,St. Martin's Paperbacks,en,fiction,2020
0316569321,others,"Little, Brown",en,fiction,2000
0340718153,Mike Gayle,Trafalgar Square,en,fiction,2020
0345342445,others,Del Rey,en,fiction,1990
0345350499,others,Del Rey,en,fiction,1990
0345350596,others,Del Rey,en,fiction,1990
0345384466,ANNE RICE,Ballantine Books,en,fiction,2000
0345387651,John Irving,Ballantine Books,en,fiction,2000
034543014X,William Goldman,Ballantine Books,en,fiction,2000
034543191X,others,Del Rey,en,fiction,2000
0345434803,Anne Rice,Ballantine Books,en,fiction,2020
0373030959,Jessica Steele,Harlequin,en,fiction,2000
0373031106,others,Harlequin,en,fiction,2000
0373033605,Catherine George,Harlequin,en,fiction,2000
0373033923,Emma Goldrick,Harlequin,en,fiction,2000
0373162669,others,Harlequin,en,fiction,1990
0373218400,Nora Roberts,Silhouette,en,fiction,2020
0373224540,others,Harlequin,en,fiction,2000
0373226063,Rebecca York,Harlequin,en,fiction,2020
0373226071,others,Harlequin,en,fiction,2020
0373226144,others,Harlequin,en,fiction,2020
0373226276,others,Harlequin,en,fiction,2020
0373241739,Lindsay McKenna,Silhouette,en,fiction,2000
0373242441,Susan Mallery,Silhouette,en,fiction,2000
0373243944,Janet Woods,Silhouette,en,fiction,2020
0373243979,Patricia Hagan,Silhouette,en,fiction,2020
0373600739,Anne Stuart,Silhouette,en,fiction,2000
0373707010,others,Harlequin,en,fiction,2000
0373708130,others,Harlequin,en,fiction,2000
037370951X,others,Harlequin,en,fiction,2020
0373709625,others,Harlequin,en,fiction,2020
0373709889,others,Harlequin,en,fiction,2020
0373810431,Aimee Thurlo,Harlequin,en,fiction,2000
0373810601,Kathleen Korbel,others,en,others,2000
0373822405,Beverly Barton,Harlequin,en,others,2020
0373834446,Georgette Heyer,Harlequin,en,fiction,2020
0373834454,Georgette Heyer,Harlequin,en,fiction,2020
0373834462,Georgette Heyer,Harlequin,en,fiction,2020
0373834489,Georgette Heyer,Harlequin,en,fiction,2020
0373835493,Georgette Heyer,Harlequin,en,fiction,2020
0373835582,Georgette Heyer,Harlequin,en,fiction,2020
0373836023,Georgette Heyer,Harlequin,en,fiction,2020
0375503269,others,Villard,en,fiction,2000
0375503838,others,Villard,en,fiction,2020
0375713549,Gregory McDonald,Vintage,en,fiction,2020
0375724370,Michael Ondaatje,Vintage,en,fiction,2020
0375751513,others,Modern Library,en,fiction,2000
0375756469,others,Random House,en,fiction,2020
0375823352,PHILIP PULLMAN,Knopf,en,fiction,2020
037582345X,PHILIP PULLMAN,Knopf,en,fiction,2020
0375823468,PHILIP PULLMAN,Knopf,en,fiction,2020
0380730448,Sue Townsend,Perennial,en,fiction,2000
0380789019,Neil Gaiman,Avon,en,fiction,2000
0380789035,Neil Gaiman,HarperTorch,en,fiction,2020
0380810492,Elizabeth Bevarly,Avon,en,fiction,2020
0380817845,others,Avon,en,fiction,2020
0380973634,Neil Gaiman,William Morrow,en,fiction,2000
0380973650,Neil Gaiman,William Morrow,en,fiction,2020
0380973839,Ray Bradbury,William Morrow,en,fiction,2000
0380977281,Neil Gaiman,William Morrow,en,fiction,2000
0380977788,Neil Gaiman,Collins,en,fiction,2020
038097827X,Neil Gaiman,Collins,en,fiction,2020
038533348X,Kurt Vonnegut,Delta,en,fiction,2000
038542017X,others,Anchor,en,fiction,2000
0394586239,A. S. Byatt,Random House,en,fiction,2000
0399146431,Amy Tan,Putnam Publishing Group,en,fiction,2020
0399501487,others,others,en,fiction,1970
0413537900,Sue Townsend,Methuen,en,adolescence,1990
0425145638,Robin Cook,Berkley Publishing Group,en,fiction,2000
0425177009,Susan Wittig Albert,Berkley Publishing Group,en,fiction,2020
0439064864,J. K. Rowling,Scholastic,en,fiction,2000
0439064872,J. K. Rowling,Scholastic,en,fiction,2020
0439136350,J. K. Rowling,Scholastic,en,fiction,2000
0439136369,J. K. Rowling,Scholastic,en,fiction,2020
0439139597,J. K. Rowling,Scholastic,en,fiction,2020
043935806X,J. K. Rowling,Scholastic,en,fiction,2020
0439510112,others,others,en,fiction,2020
0440211263,Maeve Binchy,Dell,en,fiction,2000
0440241413,others,Dell,en,fiction,2020
0440403278,Lois Lowry,Yearling,en,fiction,2000
0440967694,others,others,en,fiction,2000
0441003257,Neil Gaiman,Ace Books,en,fiction,2000
0441008615,Neil Gaiman,Ace Books,en,fiction,2020
0441172695,Frank Herbert,ACE Charter,en,dune imaginary place,2000
0441569595,William Gibson,Ace Books,en,fiction,2000
0446329142,Sidney Sheldon,Not Avail,en,fiction,1990
0446341932,Sidney Sheldon,Warner Books,en,fiction,1990
0446350109,Sidney Sheldon,Warner Books,en,fiction,1990
0446354678,Sidney Sheldon,Warner Books,en,fiction,2000
0446356832,Sidney Sheldon,Warner Books,en,fiction,1990
0446363499,Jayne Ann Krentz,Warner Books,en,fiction,2000
0446364762,Sidney Sheldon,Warner Books,en,fiction,2000
0446527785,Nicholas Sparks,Warner Books,en,fiction,2020
0446529540,Walter Mosley,Aspect,en,fiction,2020
0446605239,Nicholas Sparks,Warner Books,en,fiction,2000
0448060043,others,Grosset & Dunlap,en,fiction,1970
0449005550,others,Ballantine Books,en,fiction,2020
0449226182,Phyllis A. Whitney,Ivy Books,en,fiction,2000
0451088816,Mario Puzo,Signet Book,en,fiction,1980
0451137965,Stephen King,New Amer Library,en,fiction,1990
0451150244,Stephen King,Signet Book,en,animal,1990
0451167317,Stephen King,Signet Book,en,fiction,2000
0451167716,Mario Puzo,Signet Book,en,fiction,2020
0451201914,Cassie Edwards,Signet Book,en,fiction,2020
0451406176,Catherine Coulter,Topaz,en,great britain,2000
0451408845,Catherine Coulter,Topaz,en,fiction,2000
0451409256,others,Onyx Books,en,fiction,2020
0451522389,H. G. Wells,Signet Classics,en,fiction,1990
0451523415,Louisa May Alcott,Signet Classics,en,fiction,1990
0451524934,George Orwell,Signet Book,en,london england,2000
0451526279,Jane Austen,Signet Classics,en,fiction,2000
0451526341,George Orwell,Signet,en,fiction,2020
0451628276,others,Signet Book,en,fiction,2000
0452277337,Diane Johnson,Plume Books,en,fiction,2000
0486415864,Charles Dickens,Dover Publications,en,fiction,2020
0515090379,Lavyrle Spencer,Jove Books,en,fiction,2000
051510521X,LaVyrle Spencer,Jove Books,en,fiction,2000
0515130923,Jayne Ann Krentz,Jove Books,en,fiction,2020
051513287X,Nora Roberts,Jove Books,en,fiction,2020
051788139X,others,Random House,en,music,2000
0553250426,Jean M. Auel,Bantam,en,fiction,1990
0553250531,others,Bantam,en,fiction,1990
0553263633,Ray Bradbury,Bantam,en,others,1990
0553265741,Nora Roberts,Bantam,en,fiction,2000
0553273604,Isabel Allende,Bantam,en,fiction,1990
0553280325,Ray Bradbury,Bantam,en,fiction,1990
0553280589,Isabel Allende,Bantam,en,fiction,1990
0553293761,Judith Krantz,Bantam,en,fiction,2000
0553371010,others,Bantam,en,fairy tales,2000
0553560468,Margaret Atwood,Bantam,en,fiction,2000
0553571591,Amanda Quick,Bantam,en,fiction,2000
0571197639,Barbara Kingsolver,Faber Faber Inc,en,americans,2000
0575061596,Nick Hornby,Gollancz,en,fiction,2000
0590353403,J. K. Rowling,Scholastic,en,fiction,2000
0590402129,others,Scholastic,en,fiction,2000
059043893X,Gary Paulsen,Scholastic,en,children,2000
0590440675,others,Scholastic,en,others,2000
0618002219,J.R.R. Tolkien,Houghton Mifflin,en,fiction,2000
0618002227,J. R. R. Tolkien,Houghton Mifflin,en,fiction,2000
0618002235,J. R. R. Tolkien,Houghton Mifflin,en,fiction,2000
0618002243,J. R. R. Tolkien,Houghton Mifflin,en,fiction,2000
0671015311,Fiona Buckley,Pocket,en,fiction,2000
0671021001,Wally Lamb,Pocket,en,fiction,2000
0671525743,Judith McNaught,Pocket,en,fiction,2000
0671527215,Douglas Adams,Pocket,en,fiction,1990
0671786113,JoAnn Ross,Pocket,en,fiction,2020
0679405828,Charlotte Bronte,Unknown Publisher - Being Researched,en,fiction,2000
0679433228,others,Everyman's Library,en,fiction,2000
0679735909,others,Vintage,en,fiction,2000
0679751343,others,Vintage,en,fiction,2000
067976402X,David Guterson,Vintage,en,fiction,2000
0679879242,PHILIP PULLMAN,Knopf,en,others,2000
0679879250,Philip Pullman,Knopf,en,fiction,2000
0681415207,others,Longmeadow Press,en,fiction,2000
0684833395,Joseph Heller,Simon & Schuster,en,fiction,2000
0684872153,Frank McCourt,Scribner,en,biography autobiography,2000
0684874350,Frank McCourt,Scribner,en,biography autobiography,2000
0743225406,Annie Proulx,Scribner,en,fiction,2020
0743245024,others,Touchstone,en,fiction,2020
0749748001,Enid Blyton,Egmont Childrens Books,en,fiction,2020
0749748028,Enid Blyton,Egmont Childrens Books,en,fiction,2020
0801957729,others,others,en,fiction,1980
0804108552,Julie Smith,Fawcett,en,fiction,2000
0808520695,Kurt Vonnegut,Sagebrush Bound,en,fiction,2000
0811826848,others,Chronicle Books,en,biography autobiography,2020
0812516214,Charles De Lint,Tor Books,en,fiction,2000
0871131811,Neal Stephenson,Pub Group West,en,fiction,1990
088001380X,others,W W Norton & Co,en,poetry,2000
0895774011,Arthur Conan Doyle,Reader's Digest Association,en,fiction,2000
0963094424,Neil Gaiman,others,en,fiction,2000
0965834581,others,Meisha Merlin Pub,en,fiction,2000
1401200893,Neil Gaiman,DC Comics,en,comics graphic novels,2020
1401201172,Alan Moore,DC Comics,en,comic books strips etc,2020
1551660237,Kenneth T. Brown,Mira,en,fiction,2000
155166500X,Linda Howard,Mira,en,fiction,2000
1551667894,others,Mira,en,fiction,2020
1556520743,others,others,en,fiction,1990
156389226X,Neil Gaiman,DC Comics,en,others,2000
1563892278,Neil Gaiman,DC Comics,en,comics graphic novels,2000
1563892464,Neil Gaiman,DC Comics,en,fiction,2000
1563895730,Neil Gaiman,DC Comics,en,fiction,2000
1563898586,Alan Moore,DC Comics,en,fiction,2020
1565041992,Neil Gaiman,White Wolf Games Studio,en,fiction,2000
1566197589,others,Barnes Noble,en,fiction,2000
1567310877,others,MJF Books,en,music,2000
156971620X,Neil Gaiman,Dark Horse Comics,en,comics graphic novels,2020
1573226882,Nick Hornby,Riverhead Books,en,biography autobiography,2000
1931081727,Poppy Z. Brite,others,en,fiction,2020
0374270325,Tom Wolfe,Farrar Straus & Giroux,en,fiction,2000
0375719180,others,Vintage,en,fiction,2020
0440235502,Homer Hickam,Dell,en,others,2000
1573225487,others,Riverhead Books,en,fiction,2000
